Symbol,Name
ABEV3.SA,Ambev SA
B3SA3.SA,B3 Rg
BBAS3.SA,Banco do Brasil NM
BBDC3.SA,Bradesco N1
BBDC4.SA,Bradesco Pfd N1
BBSE3.SA,BB Seguridade Rg
BPAC11.SA,Bco BTG Pact Uts
BTOW3.SA,B2W Cia Digital  Rg
CRFB3.SA,Atacadao Rg
CSAN3.SA,Cosan Rg
EGIE3.SA,ENGIE Brasil Rg
ELET3.SA,Eletrobras N1
ELET6.SA,Eletrobras Vz N-B
GNDI3.SA,Notre Dame Part Rg
HAPV3.SA,Hapvida Rg
ITSA4.SA,Itausa Pfd N1
ITUB4.SA,Itauunibanco Pfd Rg
JBSS3.SA,JBS NM Rg
LAME3.SA,Lojas Americanas
LAME4.SA,Loja Americanas Pfd
LREN3.SA,Lojas Renner NM Rg
MGLU3.SA,Magazine Luiza N Rg
NTCO3.SA,Natura Co Hldg Rg
PAGS.SA,PAGSEGURO DIGITAL LT
PETR3.SA,Petrobras Rg
PETR4.SA,Petrobras Pfd Rg
RADL3.SA,Raia Drogasil NM Rg
RAIL3.SA,Rumo Rg
RENT3.SA,Localiza Rent NM Rg
SANB11.SA,Santander Br Uts N2
SBSP3.SA,Sabesp NM Rg
STNE.SA,STONECO LTD CL A CMN
SUZB3.SA,Suzano Rg
TIMP3.SA,Tim Part NM Rg
VALE3.SA,Vale N1
VIVT4.SA,Telef Brasil Pfd Rg
VVAR3.SA,Via Varejo CDA N2
WEGE3.SA,Weg NM Rg
XP.SA,XP INC. CLASS A CMN
