Symbol,Name
AC.MX,Arca Continental
ALFAA.MX,Alfa-A
AMXL.MX,America Movil-L
BIMBOA.MX,Grupo Bimbo SAB de CV
CEMEXCPO.MX,Cemex-Cpo
ELEKTRA.MX,Grupo Elektra
FEMSAUBD.MX,Fomento Econom Uts
GCARSOA1.MX,Grupo Carso SAB de CV
GFINBURO.MX,Grupo Financ-O
GFNORTEO.MX,Grupo Fin Banorte-O
GMEXICOB.MX,Grupo Mexico SAB de CV
GMODELOC.MX,Grupo Modelo-C
KIMBERA.MX,KIMBERLY-CLARK DE MEXICO SAB D
KOFL.MX,Coca-Cola Femsa-L
MEXCHEM.MX,Mexichem
MFRISCOA-1.MX,Mineras Frisco-A-1
PE&OLES.MX,Industrias Penoles SAB de CV
SANMEXB.MX,Grupo Financ-B
SORIANAB.MX,Organizacion Soriana SAB de CV
TLEVISACPO.MX,Grupo Televisa S.A.B
WALMEXV.MX,Wal-Mart-V
