Symbol,Name
AXP,American Express Company
BA,The Boeing Company
CAT,Caterpillar Inc Common
CVX,Chevron Corp Common
DD,
DIS,The Walt Disney Company
EKDKQ,
GE,General Electric Co
GT,Goodyear Tire & Rubber Co
HON,Honeywell International Inc.
HWM,Howmet Aerospace Inc Common
IBM,International Business Machines Corporation
IP,International Paper Co
JPM,
KO,The Coca-Cola Company
MCD,McDonald's Corporation
MMM,3M Company
MO,Altria Group Inc
MRK,"Merck & Co., Inc."
MTLQQ,
PG,The Procter & Gamble Company
RTX,Raytheon Technologies Corp
S,
T,
UK,
XOM,Exxon Mobil Corp
