Symbol,Name
ABX.TO,Barrick Mining Rg
AEM.TO,Agnico Eagle Min Rg
ATD.TO,Alim Couche-Tard Rg
BAM.TO,Brkf Ast Mgt Rg-A-
BMO.TO,Bk Of Montreal Rg
BN.TO,Brookfield Rg-A
BNS.TO,Bk of Nova Scoti Rg
CCO.TO,Cameco Rg
CM.TO,Cdn Imperial Ban Rg
CNQ.TO,Cdn Natural Res Rg
CNR.TO,Canadian Natl Rl Rg
CP.TO,Canadian Pacific Rg
CSU.TO,Constellation So Rg
DOL.TO,Dollarama Rg
ENB.TO,Enbridge Rg
FFH.TO,Fairfax Finl Hldg
FNV.TO,Franco-Nevada Rg
GWO.TO,Great-West Lifec Rg
IFC.TO,Intact Financial Rg
IMO.TO,Imperial Oil Rg
L.TO,Loblaw Cos Rg
MFC.TO,Manulife Financi Rg
NAN.TO,Natl Bk Canada Rg
RY.TO,Royal Bank Canad Rg
SHOP.TO,Shopify Rg-A
SLF.TO,Sun Life Financi Rg
SU.TO,Suncor Energy Rg
TD.TO,Toronto-Dominion Rg
TRI.TO,Thomson Reuters Rg
TRP.TO,TC Energy Rg
WCN.TO,Waste Connection Rg
WPM.TO,Wheaton Precious Rg
